City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
225,Saint-Pierre,RE,80.6,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
226,Carnarvon,AU,80.6,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
228,Jacmel,HT,87.8,few clouds,18.2342,-72.5347,Hotel Florita
231,Progreso,MX,88.0,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
234,Kabompo,ZM,70.93,broken clouds,-13.5927,24.2008,Big Tree
235,Brandfort,ZA,75.2,light rain,-28.7001,26.4597,SUMFRA GUESTHOUSE
236,Kavieng,PG,81.64,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
237,Guayaramerin,BO,77.0,moderate rain,-10.8368,-65.3614,Hostal Funf
243,Lorengau,PG,81.48,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
247,Kabanjahe,ID,78.8,haze,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
249,Vacaria,BR,75.0,scattered clouds,-28.5122,-50.9339,Pampa Hotel - Vacaria/RS
254,San Cristobal,VE,77.27,overcast clouds,7.7669,-72.225,Pirineos
255,The Valley,AI,77.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
261,Mahebourg,MU,78.8,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
262,Diebougou,BF,94.03,broken clouds,10.9667,-3.25,Hotel Le Consulat
264,Ilhabela,BR,77.14,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
265,Moyobamba,PE,75.43,overcast clouds,-6.05,-76.9667,LA CASA DE MI SUEÑO - Garden Home Lodge
267,Pontalina,BR,80.22,broken clouds,-17.525,-49.4472,Hotel Entre Rios
268,Urucara,BR,92.1,broken clouds,-2.5364,-57.76,Hotel japa
270,Cayenne,GF,82.4,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
274,Uchiza,PE,82.53,light rain,-8.4592,-76.4633,Hotel San Pedro
277,Sampit,ID,75.02,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
279,Geraldton,AU,71.6,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
283,Balikpapan,ID,76.37,overcast clouds,-1.2675,116.8289,Grand Jatra Hotel Balikpapan
284,Cam Ranh,VN,73.4,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
285,Chicama,PE,71.6,fog,-7.8447,-79.1469,Hospedaje Punta Cana PERU
